source_id,spec_class,teff_K,L_Lsun,R_gaia_Rsun,R_derived_Rsun,R_resid_pct
2733266472200635648,M,3218.2083,0.0045952066,0.21777043,0.21806069,0.13328686
5626341152706427904,M,3727.9312,0.07286486,0.6455596,0.64710753,0.2397805
5214925720023958912,M,3610.3237,0.043403827,0.5328438,0.53250647,-0.063307642
6511230039178478848,M,3502.224,0.029441321,0.47381416,0.46606229,-1.6360565
5871798847258673920,M,3844.3267,0.047252756,0.49257192,0.49003394,-0.5152515
1308268650638218752,M,3196.2102,0.005635203,0.24509893,0.24481458,-0.1160147
1891359324914273664,M,3889.3809,0.093311206,0.6713018,0.67275837,0.21697651
168128320166206848,M,3615.0835,0.051640783,0.57871073,0.57931251,0.1039857
6873519635930161024,M,3753.3867,0.041353013,0.48505715,0.48090591,-0.855824
4733786170513097984,M,3568.6606,0.020598263,0.37596714,0.37545507,-0.13620188
5554448141812497152,M,3622.5852,0.056757707,0.60655105,0.60482309,-0.28488237
4509249536590264448,M,3551.928,0.050361272,0.5931385,0.59261576,-0.088130762
1155516936164348544,M,3512.1206,0.027685072,0.4502795,0.44940422,-0.19438535
2153578618910254720,M,3384.6914,0.05038487,0.653589,0.65277735,-0.12418371
1973572210217352832,M,3418.7332,0.029031068,0.48593527,0.48568451,-0.051604577
3346749709456338560,M,3663.689,0.04615025,0.5333682,0.53321577,-0.028577963
5156359550270224000,M,3683.9097,0.046290264,0.528704,0.52817767,-0.099550786
3125014012684556288,M,3300.5488,0.007637274,0.27333066,0.26726989,-2.2173776
4590233142120018560,M,3469.358,0.031823885,0.4928407,0.49377776,0.19013461
1272804044819090816,M,3761.1135,0.07679689,0.65407187,0.65266767,-0.21468631
5773293733615706240,M,3778.3213,0.057526533,0.5557574,0.55974405,0.71733692
2762575333324399104,M,3336.183,0.012301404,0.3308416,0.33199441,0.34844781
6801346936765589248,M,3641.6753,0.083672896,0.73820645,0.72667985,-1.5614326
6032351214424816896,M,3560.0413,0.02276633,0.3966503,0.39663369,-0.0041872483
2978371738865384192,M,3538.8447,0.03393518,0.4737967,0.49006674,3.4339712
233587126455796096,M,3662.6372,0.023667717,0.3846272,0.38207053,-0.66471383
5781364359420371840,M,3461.442,0.022672474,0.4201633,0.41868606,-0.35158762
1565955663217068672,M,3735.392,0.11541557,0.8155306,0.81117206,-0.53444186
2037704803617185152,M,3368.6235,0.009930046,0.29792777,0.29256599,-1.7996904
5322711227155204864,M,3585.0903,0.053483523,0.59710836,0.59946381,0.39447537
2930546277298588288,M,3415.546,0.0409403,0.58023393,0.57784105,-0.41239854
2163455707980134272,M,3530.4697,0.030245328,0.46420324,0.46485481,0.14036401
6224151332742512128,M,3423.0432,0.025100192,0.4481695,0.45047109,0.51355301
1795437754411600768,M,3424.3813,0.011331993,0.3039238,0.30244198,-0.4875622
5850233885138776960,M,3532.5112,0.022122605,0.39809716,0.39710394,-0.24949131
482091425938463232,M,3667.1418,0.053628795,0.57910216,0.57371575,-0.93013105
3301816036481126912,M,3884.925,0.24919792,1.069381,1.1019454,3.0451666
6792282116231384960,M,3537.3276,0.023094542,0.40575165,0.40462925,-0.27662277
4666499013830653440,M,3592.6008,0.07530886,0.71373343,0.70836692,-0.75189249
3014794023608154752,M,3840.5803,0.092951246,0.68595576,0.68863179,0.39011731
1770141084233383168,M,3286.1934,0.014234615,0.35274458,0.36807794,4.3468723
5192711157032467968,M,3504.1897,0.06392059,0.6831892,0.68595927,0.40546193
4876939663872726272,M,3754.7263,0.062334724,0.5840835,0.59001304,1.0151875
1807875399898638976,M,3542.991,0.056000162,0.62966865,0.6280695,-0.25396682
5724171715913779200,M,3331.7043,0.019365065,0.39133045,0.41766659,6.7298992
2022838783627742976,M,3823.0784,0.060866,0.56214976,0.56235963,0.037332727
5545547011071835392,M,3450.5137,0.025740478,0.4496876,0.44894584,-0.16494989
2295656313156693120,M,3563.3965,0.03947168,0.51886547,0.52127593,0.46456278
968477505631771008,M,3663.0032,0.033104654,0.45244068,0.45177593,-0.14692471
3986360121822767872,M,3431.6155,0.021735374,0.4171876,0.41709932,-0.021161614
6815187378680908800,M,3430.3235,0.02271873,0.42686382,0.42675147,-0.026319149
1125633039051464448,M,3856.9805,0.08345863,0.6391343,0.64698454,1.2282607
5317063104650497536,M,3514.003,0.033140466,0.5008345,0.4911659,-1.9304973
5626544360500009344,M,3613.2146,0.027303569,0.42111334,0.42167258,0.1327996
5348622520031798912,M,3482.9702,0.014746318,0.33308682,0.33349969,0.12395416
1375358960378760704,M,3453.7031,0.010327078,0.28705952,0.28383888,-1.121943
6179604099446348288,M,3687.0762,0.04170952,0.50489485,0.50050282,-0.86988964
315341721552964736,M,3836.6165,0.05819744,0.5468793,0.54601971,-0.15718069
5160260995482558976,M,3594.9644,0.058069646,0.6189923,0.62121018,0.35830448
4941229483137613952,M,3203.5073,0.008717202,0.30079147,0.30310303,0.76849299
1092124730703552896,M,3340.7979,0.010678134,0.30812103,0.30846112,0.11037661
1353951129684926976,M,3378.02,0.02555679,0.47436172,0.46674737,-1.6051779
2991908273192312320,M,3529.6055,0.0354964,0.50414616,0.50384039,-0.060650772
4065480600700474752,M,3634.0444,0.06495065,0.64387465,0.64293113,-0.14653804
204490127472761472,M,3721.443,0.061048474,0.5920758,0.59438498,0.39001377
3514960037720750848,M,3353.243,0.009773951,0.30043224,0.29292618,-2.4984207
4759969867401789568,M,3555.4338,0.054514125,0.617003,0.6153504,-0.26784243
630601774302831488,M,3678.4592,0.076110266,0.6807443,0.67927072,-0.21646617
6833777856859897984,M,3227.5393,0.0072521474,0.2759857,0.27236004,-1.313712
5458458341464094336,M,3630.22,0.05823092,0.60794944,0.61004812,0.34520712
4561946281348956288,M,3617.446,0.03506956,0.47726074,0.4767758,-0.10160853
2795245191039713152,M,3599.8047,0.031692605,0.45700046,0.45769298,0.15153575
5910768975275094784,M,3763.212,0.045704197,0.5029029,0.50293728,0.006837191
4049358216793874816,M,3878.2468,0.08423471,0.6503775,0.6428769,-1.1532694
3218631036876848640,M,3542.2112,0.021397598,0.388618,0.38840675,-0.054359214
1944921243592640640,M,3611.2078,0.041746665,0.5263321,0.52198629,-0.82567869
1396282494856489728,M,3734.9902,0.047474973,0.5231008,0.52036322,-0.52333737
2012920192316396672,M,3187.9495,0.0048523378,0.22807378,0.22835252,0.1222147
5593939889365220992,M,3238.853,0.00845105,0.28462636,0.29196179,2.5772148
4755530078104462976,M,3316.0955,0.0066835834,0.24706857,0.24768733,0.2504398
5889950993945365632,M,3429.9204,0.018064246,0.38027135,0.38062297,0.092466488
1194371890383586816,M,3413.218,0.012716171,0.3263622,0.32248037,-1.1894233
5436102143335990784,M,3518.1375,0.029912854,0.4661843,0.46553943,-0.1383299
6009461207706160768,M,3480.7986,0.023991717,0.42636237,0.42591804,-0.10421431
1869547900457905920,M,3557.9702,0.054180093,0.6114225,0.61258791,0.19060633
5283564490032985216,M,3513.6711,0.024996202,0.42736444,0.42664628,-0.16804457
2845253659931962368,M,3619.0928,0.024116784,0.39799753,0.39501485,-0.74942255
1716185579052348672,M,3518.5586,0.042619854,0.55487293,0.5555582,0.12350052
4557150555228159744,M,3647.4617,0.07092092,0.67850816,0.66689715,-1.711256
449580275852573696,M,3525.858,0.019969253,0.3789283,0.37870796,-0.058147798
1992480481611925888,M,3781.573,0.05265712,0.53492785,0.53460958,-0.059498162
6288668407312131968,M,3484.3796,0.009867492,0.28603598,0.27258731,-4.7017421
6134480283982904320,M,3839.4165,0.04423596,0.47444078,0.47534665,0.19093374
3671752186843116416,M,3685.621,0.06424927,0.6317006,0.62167859,-1.5865124
4208448551382238464,M,3135.6384,0.0067251604,0.27804342,0.27787696,-0.059869093
420933840427608320,M,3635.974,0.09870732,0.79761094,0.79174678,-0.73521621
6776027967117158016,M,3662.1787,0.06536287,0.634205,0.6350964,0.14055434
6837314092412667008,M,3366.3237,0.012176206,0.32494146,0.32441237,-0.16282641
3016494349620782080,M,3670.836,0.031074548,0.43588504,0.43583852,-0.010673581
393538301327255296,M,3416.6375,0.012372806,0.31799728,0.31746032,-0.16885532
3666796481778157696,M,3543.345,0.027030671,0.43609923,0.43626934,0.0390076
4280957147040282240,M,3694.5,0.041740187,0.49843317,0.49867663,0.048844692
3439092842051829504,M,3792.2607,0.10889621,0.76730216,0.7644748,-0.36848098
3848939722609424000,M,3432.9363,0.022592962,0.42471546,0.42492106,0.048409054
3147006104960751232,M,3520.1545,0.045678895,0.5766795,0.57462895,-0.35557804
5250344979593323264,M,3649.7651,0.18722562,1.0818776,1.0821961,0.029441179
7092232251988480,M,3321.5322,0.015603007,0.37769312,0.37720755,-0.12856163
2255952256787112320,M,3372.6814,0.038222726,0.57219213,0.57261584,0.074049576
4806267454485482880,M,3374.6836,0.012956847,0.33307752,0.33299423,-0.025007131
5525701792560794112,M,3639.1772,0.022554316,0.3863072,0.37779968,-2.2022681
4528422652857777920,M,3678.3604,0.044547904,0.52023053,0.51970661,-0.10070899
6089490806496725760,M,3455.1501,0.039185025,0.55659676,0.55243271,-0.74812653
353038894324986112,M,3430.7698,0.021537073,0.41592312,0.41539699,-0.12649723
983828096704413056,M,3561.2375,0.0727638,0.71343327,0.70861276,-0.67567721
1917912492068764800,M,3470.9678,0.029860245,0.47702682,0.47785779,0.17419879
5153483876391459072,M,3613.1233,0.035902243,0.48323476,0.48355779,0.066848136
5744048339222572672,M,3595.9985,0.045618597,0.5546888,0.55028176,-0.79450638
22754771094131200,M,3649.5427,0.03593079,0.48314404,0.47414333,-1.8629455
5876139783540386048,M,3469.4475,0.15538716,1.0914257,1.0910385,-0.0354744
4718604045237179136,M,3647.2395,0.091641165,0.75740284,0.75817576,0.10204897
2040226597953645312,M,3507.1824,0.03526945,0.51021945,0.50866962,-0.303758
1672393027350307968,M,3490.4045,0.022031642,0.40538925,0.40590563,0.12737857
1298396002589203968,M,3531.6812,0.014920955,0.32650584,0.32627853,-0.06962025
5529727138995954176,M,3681.8516,0.06084581,0.6034769,0.60622793,0.45586295
259856280304874368,M,3674.9714,0.05700359,0.5876233,0.58897429,0.22990755
665587066069254400,M,3452.962,0.017756851,0.37357476,0.37235101,-0.32757788
3338657024699329536,M,3841.5208,0.042350996,0.48093253,0.46459935,-3.3961481
5307596962364587776,M,3624.3079,0.034993567,0.4752138,0.47445726,-0.15919995
2556200127526734720,M,3524.0525,0.014179075,0.34099513,0.31944226,-6.3205797
3684951411617737088,M,3620.8892,0.047938265,0.55427885,0.55637018,0.37730668
5952790759195227264,M,3520.249,0.12661791,0.9700101,0.95665196,-1.377114
2103059976626041856,M,3222.3132,0.010511893,0.3290284,0.32897139,-0.017327675
660106374264832640,M,3708.7837,0.047828976,0.53034806,0.52970697,-0.12088015
2037999708949457664,M,3420.4133,0.017682105,0.3826767,0.37867181,-1.0465477
1044235849649909504,M,3596.3994,0.022126501,0.38279575,0.3831543,0.093664939
3045126938086464640,M,3472.159,0.02855271,0.46822822,0.46695778,-0.27132845
4236364017733229696,M,3718.4287,0.04288382,0.49904847,0.49897752,-0.014217953
2169772917661784576,M,3799.3208,0.14895466,0.90591335,0.89077553,-1.671001
2271119847894139904,M,3654.1357,0.043704998,0.5239745,0.52161416,-0.4504689
5033861890372409344,M,3354.4766,0.01547833,0.3688327,0.36835424,-0.12972161
6058443862300431616,M,3772.2322,0.06333105,0.5879785,0.58920262,0.20819127
5545510383589579776,M,3645.1196,0.045342054,0.53742945,0.53392492,-0.65209129
4717263122087350016,M,3476.4197,0.0477788,0.6055163,0.60256843,-0.48683554
6399044634413949056,M,3594.8774,0.080193155,0.72833776,0.73005175,0.23532832
1871317422669330688,M,3684.2617,0.04661045,0.5269147,0.52989993,0.56654991
5665192091128481664,M,3257.7197,0.02239922,0.4427487,0.46983155,6.1169809
5498421358587574144,M,3888.8684,0.07191662,0.59540296,0.5907739,-0.77746652
5190596413918309376,M,3879.5586,0.0617428,0.5545912,0.55002406,-0.82351439
1210410092836307840,M,3822.6208,0.13275795,0.8299956,0.8307321,0.088735472
5932046891797039744,M,3676.265,0.059816908,0.60752225,0.60290866,-0.7594109
1942697584398228992,M,3588.1501,0.02814829,0.43773308,0.43414816,-0.81897396
5562949290841456512,M,3480.8618,0.025025398,0.4362557,0.43498081,-0.29223504
5689714288509433728,M,3460.0095,0.042397153,0.5739827,0.57301623,-0.16837904
2034243060014099584,M,3593.4114,0.086159855,0.76389724,0.7573415,-0.85819599
1850188146373235456,M,3890.9675,0.10472386,0.7137141,0.71213243,-0.22161045
1951214057875820160,M,3562.8684,0.050963007,0.6010253,0.59249013,-1.4201015
2297145842175040384,M,3641.3696,0.026637046,0.4156233,0.41007819,-1.3341684
5340895839507691136,M,3511.6772,0.01860926,0.37932822,0.36854331,-2.8431594
6891046126150741888,M,3579.0886,0.035862666,0.49213,0.49252644,0.080555562
5348018377058395648,M,3769.0483,0.045290183,0.5016981,0.49910485,-0.51689391
3083391007877181056,M,3719.4048,0.03960024,0.47835028,0.47924233,0.18648572
523058610717878144,M,3317.4429,0.0123106,0.33698487,0.33588133,-0.32747606
6536703490210003584,M,3701.8616,0.05871038,0.589168,0.58907454,-0.015863532
